City,Cuisine Style,count
Hamburg,Sushi,19
Hamburg,Sushi,15
Hamburg,Swiss,1
Hamburg,Thai,3
Hamburg,Thai,12
Hamburg,Turkish,5
Hamburg,Turkish,10
Hamburg,Vegan Options,1
Hamburg,Vegetarian Friendly,4
Hamburg,Vegetarian Friendly,30
Hamburg,Vietnamese,5
Hamburg,Vietnamese,8
Hamburg,Wine Bar,2
Hamburg,Wine Bar,5
Hamburg,Afghani,1
Hamburg,African,1
Hamburg,Albanian,1
Hamburg,American,11
Hamburg,American,5
Hamburg,Arabic,2
Hamburg,Argentinean,3
Hamburg,Argentinean,2
Hamburg,Armenian,1
Hamburg,Asian,51
Hamburg,Asian,18
Hamburg,Austrian,2
Hamburg,Bar,49
Hamburg,Barbecue,25
Hamburg,Barbecue,4
Hamburg,Brazilian,1
Hamburg,Brew Pub,3
Hamburg,Brew Pub,1
Hamburg,British,3
Hamburg,Cafe,21
Hamburg,Cafe,7
