City,Cuisine Style,count
Barcelona,Vegetarian Friendly,25
Barcelona,Venezuelan,2
Barcelona,Vietnamese,1
Barcelona,Wine Bar,8
Barcelona,Wine Bar,11
Barcelona,African,2
Barcelona,Albanian,1
Barcelona,American,45
Barcelona,American,4
Barcelona,Arabic,3
Barcelona,Arabic,2
Barcelona,Argentinean,78
Barcelona,Argentinean,9
Barcelona,Armenian,2
Barcelona,Asian,223
Barcelona,Asian,74
Barcelona,Australian,1
Barcelona,Bar,172
Barcelona,Bar,13
Barcelona,Barbecue,57
Barcelona,Barbecue,16
Barcelona,Belgian,4
Barcelona,Brazilian,11
Barcelona,Brew Pub,13
Barcelona,Brew Pub,1
Barcelona,British,7
Barcelona,British,3
Barcelona,Cafe,113
Barcelona,Cafe,15
Barcelona,Cajun & Creole,1
Barcelona,Cambodian,1
Barcelona,Cambodian,1
Barcelona,Caribbean,8
Barcelona,Caribbean,1
Barcelona,Central American,25
