City,Cuisine Style,count
Paris,Polish,7
Paris,Portuguese,1
Paris,Portuguese,1
Paris,Pub,16
Paris,Pub,28
Paris,Romanian,1
Paris,Russian,5
Paris,Russian,7
Paris,Scandinavian,1
Paris,Seafood,19
Paris,Seafood,20
Paris,Soups,1
Paris,Soups,1
Paris,South American,7
Paris,South American,2
Paris,Spanish,16
Paris,Spanish,46
Paris,Steakhouse,25
Paris,Steakhouse,7
Paris,Street Food,1
Paris,Street Food,8
Paris,Sushi,17
Paris,Sushi,37
Paris,Swiss,1
Paris,Taiwanese,1
Paris,Thai,31
Paris,Thai,89
Paris,Tunisian,1
Paris,Turkish,13
Paris,Turkish,29
Paris,Ukrainian,1
Paris,Vegan Options,2
Paris,Vegetarian Friendly,33
Paris,Vegetarian Friendly,82
Paris,Venezuelan,1
