City,Cuisine Style,count
Vienna,Pizza,32
Vienna,Polish,2
Vienna,Pub,5
Vienna,Pub,10
Vienna,Romanian,1
Vienna,Russian,1
Vienna,Russian,1
Vienna,Seafood,28
Vienna,Seafood,9
Vienna,Soups,3
Vienna,Soups,1
Vienna,South American,2
Vienna,South American,2
Vienna,Spanish,1
Vienna,Spanish,2
Vienna,Sri Lankan,1
Vienna,Steakhouse,20
Vienna,Steakhouse,2
Vienna,Street Food,1
Vienna,Street Food,1
Vienna,Sushi,19
Vienna,Sushi,7
Vienna,Thai,2
Vienna,Thai,5
Vienna,Turkish,7
Vienna,Turkish,6
Vienna,Ukrainian,1
Vienna,Vegan Options,1
Vienna,Vegetarian Friendly,8
Vienna,Vegetarian Friendly,29
Vienna,Vietnamese,2
Vienna,Vietnamese,8
Vienna,Wine Bar,5
Vienna,Wine Bar,21
Vienna,Afghani,1
