City,Cuisine Style,count
Prague,Sushi,48
Prague,Sushi,13
Prague,Swedish,1
Prague,Taiwanese,2
Prague,Thai,52
Prague,Thai,9
Prague,Tibetan,2
Prague,Turkish,12
Prague,Turkish,9
Prague,Ukrainian,1
Prague,Uzbek,1
Prague,Vegan Options,152
Prague,Vegan Options,142
Prague,Vegetarian Friendly,377
Prague,Vegetarian Friendly,386
Prague,Venezuelan,1
Prague,Vietnamese,39
Prague,Vietnamese,25
Prague,Wine Bar,30
Prague,Wine Bar,22
Rome,African,10
Rome,American,44
Rome,American,3
Rome,Asian,16
Rome,Asian,2
Rome,Balti,1
Rome,Bar,71
Rome,Bar,7
Rome,Barbecue,8
Rome,Brazilian,2
Rome,Brew Pub,31
Rome,Brew Pub,6
Rome,British,2
Rome,British,1
Rome,Cafe,35
