City,Cuisine Style,count
Bratislava,Delicatessen,1
Bratislava,Diner,4
Bratislava,Diner,4
Bratislava,Dutch,1
Bratislava,Eastern European,51
Bratislava,Eastern European,17
Bratislava,Egyptian,1
Bratislava,European,130
Bratislava,European,32
Bratislava,Fast Food,12
Bratislava,Fast Food,2
Bratislava,French,3
Bratislava,French,2
Bratislava,Fusion,5
Bratislava,Fusion,2
Bratislava,Gastropub,2
Bratislava,Gastropub,8
Bratislava,Gluten Free Options,2
Bratislava,Gluten Free Options,29
Bratislava,Greek,2
Bratislava,Grill,11
Bratislava,Grill,5
Bratislava,Healthy,9
Bratislava,Healthy,6
Bratislava,Hungarian,3
Bratislava,Indian,1
Bratislava,Indonesian,2
Bratislava,International,24
Bratislava,International,12
Bratislava,Israeli,1
Bratislava,Italian,7
Bratislava,Italian,6
Bratislava,Japanese,4
Bratislava,Japanese,1
Bratislava,Korean,1
