City,Cuisine Style,count
London,Seafood,108
London,Seafood,50
London,Singaporean,12
London,Singaporean,3
London,Soups,124
London,Soups,29
London,South American,79
London,South American,54
London,Southwestern,13
London,Spanish,182
London,Spanish,42
London,Sri Lankan,8
London,Sri Lankan,5
London,Steakhouse,56
London,Steakhouse,10
London,Street Food,46
London,Street Food,26
London,Sushi,339
London,Sushi,23
London,Swedish,11
London,Swedish,1
London,Swiss,1
London,Taiwanese,7
London,Taiwanese,7
London,Thai,269
London,Thai,84
London,Tibetan,3
London,Tunisian,2
London,Turkish,268
London,Turkish,31
London,Ukrainian,1
London,Uzbek,1
London,Vegan Options,1627
London,Vegan Options,1054
London,Vegetarian Friendly,3800
London,Vegetarian Friendly,2300
