City,Cuisine Style,count
Stockholm,Cuban,1
Stockholm,Czech,1
Stockholm,Danish,2
Stockholm,Danish,1
Stockholm,Delicatessen,5
Stockholm,Delicatessen,4
Stockholm,Diner,2
Stockholm,Diner,3
Stockholm,Dutch,1
Stockholm,Eastern European,6
Stockholm,Ethiopian,2
Stockholm,Ethiopian,2
Stockholm,European,340
Stockholm,European,66
Stockholm,Fast Food,39
Stockholm,Fast Food,8
Stockholm,French,9
Stockholm,French,2
Stockholm,Fusion,15
Stockholm,Fusion,6
Stockholm,Gastropub,9
Stockholm,Gastropub,2
Stockholm,German,1
Stockholm,Gluten Free Options,53
Stockholm,Gluten Free Options,230
Stockholm,Greek,13
Stockholm,Greek,6
Stockholm,Grill,10
Stockholm,Grill,4
Stockholm,Halal,3
Stockholm,Halal,9
Stockholm,Hawaiian,2
Stockholm,Hawaiian,1
Stockholm,Healthy,7
Stockholm,Healthy,2
