City,Cuisine Style,count
Berlin,Egyptian,3
Berlin,Ethiopian,5
Berlin,Ethiopian,1
Berlin,European,928
Berlin,European,129
Berlin,Fast Food,88
Berlin,Fast Food,31
Berlin,French,24
Berlin,French,6
Berlin,Fusion,41
Berlin,Fusion,23
Berlin,Gastropub,13
Berlin,Gastropub,12
Berlin,Georgian,1
Berlin,German,116
Berlin,German,30
Berlin,Gluten Free Options,10
Berlin,Gluten Free Options,287
Berlin,Greek,27
Berlin,Greek,14
Berlin,Grill,51
Berlin,Grill,20
Berlin,Guatemalan,2
Berlin,Halal,10
Berlin,Halal,56
Berlin,Hawaiian,1
Berlin,Healthy,44
Berlin,Healthy,13
Berlin,Hungarian,4
Berlin,Indian,7
Berlin,Indonesian,4
Berlin,Indonesian,2
Berlin,International,127
Berlin,International,35
Berlin,Irish,1
