City,Cuisine Style,count
Barcelona,Mediterranean,283
Barcelona,Mexican,84
Barcelona,Mexican,29
Barcelona,Middle Eastern,8
Barcelona,Middle Eastern,2
Barcelona,Moroccan,11
Barcelona,Pakistani,1
Barcelona,Peruvian,43
Barcelona,Peruvian,1
Barcelona,Pizza,70
Barcelona,Pizza,49
Barcelona,Polish,1
Barcelona,Pub,11
Barcelona,Pub,13
Barcelona,Russian,4
Barcelona,Seafood,211
Barcelona,Seafood,17
Barcelona,Soups,3
Barcelona,Soups,1
Barcelona,South American,8
Barcelona,South American,1
Barcelona,Spanish,213
Barcelona,Spanish,542
Barcelona,Steakhouse,56
Barcelona,Steakhouse,2
Barcelona,Street Food,4
Barcelona,Sushi,12
Barcelona,Sushi,16
Barcelona,Swiss,2
Barcelona,Thai,5
Barcelona,Thai,2
Barcelona,Turkish,7
Barcelona,Turkish,10
Barcelona,Vegan Options,1
Barcelona,Vegetarian Friendly,13
