City,Cuisine Style,count
Prague,Fusion,9
Prague,Gastropub,40
Prague,Gastropub,6
Prague,Georgian,1
Prague,Georgian,1
Prague,German,1
Prague,Gluten Free Options,26
Prague,Gluten Free Options,269
Prague,Greek,7
Prague,Greek,8
Prague,Grill,36
Prague,Grill,12
Prague,Halal,7
Prague,Halal,9
Prague,Healthy,30
Prague,Healthy,10
Prague,Hungarian,1
Prague,Indian,7
Prague,Indian,2
Prague,Indonesian,3
Prague,Indonesian,3
Prague,International,189
Prague,International,47
Prague,Israeli,4
Prague,Italian,39
Prague,Italian,14
Prague,Japanese,23
Prague,Japanese,3
Prague,Korean,7
Prague,Korean,4
Prague,Kosher,3
Prague,Kosher,2
Prague,Latin,19
Prague,Mediterranean,139
Prague,Mediterranean,20
Prague,Mexican,6
