City,Cuisine Style,count
Lisbon,Asian,27
Lisbon,Asian,1
Lisbon,Bar,99
Lisbon,Bar,3
Lisbon,Barbecue,15
Lisbon,Barbecue,1
Lisbon,Belgian,2
Lisbon,Brazilian,33
Lisbon,Brazilian,2
Lisbon,Brew Pub,9
Lisbon,Cafe,72
Lisbon,Cafe,7
Lisbon,Caribbean,3
Lisbon,Chinese,32
Lisbon,Chinese,15
Lisbon,Contemporary,11
Lisbon,Contemporary,3
Lisbon,Delicatessen,1
Lisbon,Diner,1
Lisbon,Eastern European,1
Lisbon,European,800
Lisbon,European,14
Lisbon,Fast Food,23
Lisbon,Fast Food,11
Lisbon,Filipino,2
Lisbon,French,18
Lisbon,French,3
Lisbon,Fusion,4
Lisbon,Fusion,3
Lisbon,Gastropub,1
Lisbon,German,4
Lisbon,German,3
Lisbon,Grill,3
Lisbon,Grill,2
Lisbon,Halal,1
