City,Cuisine Style,count
Munich,Soups,3
Munich,Soups,1
Munich,Spanish,1
Munich,Spanish,6
Munich,Steakhouse,18
Munich,Steakhouse,8
Munich,Street Food,2
Munich,Sushi,12
Munich,Sushi,12
Munich,Swiss,1
Munich,Thai,6
Munich,Thai,9
Munich,Turkish,9
Munich,Turkish,12
Munich,Vegan Options,1
Munich,Vegetarian Friendly,3
Munich,Vegetarian Friendly,38
Munich,Vietnamese,3
Munich,Vietnamese,21
Munich,Wine Bar,2
Munich,Wine Bar,2
Munich,Afghani,8
Munich,Afghani,1
Munich,African,1
Munich,American,15
Munich,American,3
Munich,Arabic,2
Munich,Arabic,1
Munich,Argentinean,3
Munich,Asian,99
Munich,Asian,25
Munich,Australian,1
Munich,Austrian,19
Munich,Balti,1
Munich,Bar,86
