City,Cuisine Style,count
Bratislava,Steakhouse,1
Bratislava,Street Food,2
Bratislava,Sushi,3
Bratislava,Thai,1
Bratislava,Thai,1
Bratislava,Vegetarian Friendly,1
Bratislava,Vietnamese,3
Bratislava,Wine Bar,1
Bratislava,Wine Bar,4
Bratislava,American,6
Bratislava,American,3
Bratislava,Arabic,2
Bratislava,Argentinean,1
Bratislava,Armenian,1
Bratislava,Asian,20
Bratislava,Asian,5
Bratislava,Austrian,1
Bratislava,Bar,27
Bratislava,Bar,2
Bratislava,Barbecue,11
Bratislava,Belgian,1
Bratislava,Brew Pub,7
Bratislava,British,2
Bratislava,British,1
Bratislava,Cafe,11
Bratislava,Cafe,4
Bratislava,Caribbean,1
Bratislava,Central European,92
Bratislava,Central European,73
Bratislava,Contemporary,4
Bratislava,Croatian,1
Bratislava,Cuban,1
Bratislava,Czech,23
Bratislava,Czech,7
Bratislava,Delicatessen,3
