City,Cuisine Style,count
Bratislava,Latin,1
Bratislava,Latin,1
Bratislava,Mediterranean,21
Bratislava,Mediterranean,6
Bratislava,Mexican,1
Bratislava,Middle Eastern,3
Bratislava,Middle Eastern,1
Bratislava,Minority Chinese,1
Bratislava,Pizza,25
Bratislava,Pizza,8
Bratislava,Portuguese,1
Bratislava,Pub,54
Bratislava,Pub,33
Bratislava,Romanian,1
Bratislava,Russian,1
Bratislava,Scottish,1
Bratislava,Scottish,1
Bratislava,Seafood,8
Bratislava,Seafood,2
Bratislava,Slovenian,4
Bratislava,Slovenian,1
Bratislava,Soups,15
Bratislava,Soups,4
Bratislava,South American,1
Bratislava,Spanish,3
Bratislava,Spanish,1
Bratislava,Steakhouse,1
Bratislava,Steakhouse,1
Bratislava,Street Food,4
Bratislava,Street Food,6
Bratislava,Sushi,13
Bratislava,Sushi,4
Bratislava,Thai,8
Bratislava,Thai,2
Bratislava,Turkish,2
