City,Cuisine Style,count
Paris,Turkish,24
Paris,Turkish,5
Paris,Ukrainian,2
Paris,Uzbek,1
Paris,Vegan Options,247
Paris,Vegan Options,510
Paris,Vegetarian Friendly,860
Paris,Vegetarian Friendly,1764
Paris,Venezuelan,1
Paris,Vietnamese,112
Paris,Vietnamese,100
Paris,Wine Bar,99
Paris,Wine Bar,186
Paris,Xinjiang,1
Prague,Afghani,1
Prague,African,3
Prague,American,107
Prague,American,13
Prague,Argentinean,1
Prague,Asian,78
Prague,Asian,37
Prague,Austrian,4
Prague,Bar,430
Prague,Bar,12
Prague,Barbecue,7
Prague,Barbecue,1
Prague,Belgian,2
Prague,Brazilian,4
Prague,Brew Pub,9
Prague,Cafe,118
Prague,Cafe,207
Prague,Canadian,1
Prague,Canadian,1
Prague,Caribbean,3
Prague,Central Asian,1
