City,Cuisine Style,count
Rome,Greek,4
Rome,Grill,24
Rome,Grill,14
Rome,Halal,6
Rome,Halal,10
Rome,Hawaiian,2
Rome,Healthy,21
Rome,Healthy,9
Rome,Indian,3
Rome,Indonesian,2
Rome,International,104
Rome,International,33
Rome,Irish,8
Rome,Irish,2
Rome,Israeli,11
Rome,Italian,198
Rome,Italian,58
Rome,Jamaican,1
Rome,Japanese,70
Rome,Japanese,11
Rome,Korean,6
Rome,Korean,2
Rome,Kosher,7
Rome,Kosher,10
Rome,Latin,17
Rome,Latin,1
Rome,Lebanese,3
Rome,Malaysian,2
Rome,Mediterranean,1805
Rome,Mediterranean,322
Rome,Mexican,5
Rome,Middle Eastern,20
Rome,Middle Eastern,4
Rome,Minority Chinese,1
Rome,Moroccan,2
Rome,Native American,1
