City,Cuisine Style,count
Hamburg,Pakistani,2
Hamburg,Persian,2
Hamburg,Persian,4
Hamburg,Peruvian,2
Hamburg,Pizza,44
Hamburg,Pizza,18
Hamburg,Portuguese,19
Hamburg,Portuguese,18
Hamburg,Pub,29
Hamburg,Pub,24
Hamburg,Russian,1
Hamburg,Scandinavian,3
Hamburg,Scandinavian,1
Hamburg,Seafood,65
Hamburg,Seafood,16
Hamburg,Soups,8
Hamburg,Soups,10
Hamburg,South American,10
Hamburg,South American,7
Hamburg,Southwestern,1
Hamburg,Spanish,20
Hamburg,Spanish,10
Hamburg,Sri Lankan,1
Hamburg,Steakhouse,6
Hamburg,Steakhouse,6
Hamburg,Street Food,4
Hamburg,Street Food,3
Hamburg,Sushi,35
Hamburg,Sushi,9
Hamburg,Swedish,1
Hamburg,Swedish,1
Hamburg,Thai,16
Hamburg,Thai,5
Hamburg,Tibetan,2
Hamburg,Tibetan,1
