City,Cuisine Style,count
Lisbon,Healthy,10
Lisbon,Healthy,8
Lisbon,Indian,78
Lisbon,Indian,15
Lisbon,International,41
Lisbon,International,14
Lisbon,Irish,1
Lisbon,Italian,126
Lisbon,Italian,25
Lisbon,Japanese,73
Lisbon,Japanese,17
Lisbon,Latin,4
Lisbon,Lebanese,4
Lisbon,Mediterranean,457
Lisbon,Mediterranean,8
Lisbon,Mexican,9
Lisbon,Mexican,1
Lisbon,Middle Eastern,1
Lisbon,Moroccan,1
Lisbon,Nepali,2
Lisbon,Pakistani,1
Lisbon,Pakistani,1
Lisbon,Persian,1
Lisbon,Peruvian,7
Lisbon,Pizza,20
Lisbon,Pizza,10
Lisbon,Portuguese,124
Lisbon,Portuguese,44
Lisbon,Pub,4
Lisbon,Pub,6
Lisbon,Seafood,167
Lisbon,Seafood,9
Lisbon,Soups,1
Lisbon,South American,1
Lisbon,South American,1
