City,Cuisine Style,count
Budapest,Seafood,20
Budapest,Soups,51
Budapest,Soups,9
Budapest,South American,6
Budapest,South American,1
Budapest,Spanish,14
Budapest,Spanish,4
Budapest,Steakhouse,8
Budapest,Street Food,31
Budapest,Street Food,19
Budapest,Sushi,33
Budapest,Sushi,3
Budapest,Thai,36
Budapest,Thai,5
Budapest,Turkish,22
Budapest,Vegan Options,164
Budapest,Vegan Options,134
Budapest,Vegetarian Friendly,379
Budapest,Vegetarian Friendly,314
Budapest,Vietnamese,17
Budapest,Vietnamese,2
Budapest,Wine Bar,26
Budapest,Wine Bar,9
Copenhagen,African,2
Copenhagen,American,74
Copenhagen,American,7
Copenhagen,Asian,65
Copenhagen,Asian,4
Copenhagen,Bar,67
Copenhagen,Bar,1
Copenhagen,Barbecue,3
Copenhagen,Barbecue,2
Copenhagen,Belgian,1
Copenhagen,Brazilian,1
Copenhagen,Brew Pub,3
