City,Cuisine Style,count
Helsinki,French,2
Helsinki,Fusion,3
Helsinki,Fusion,2
Helsinki,Georgian,1
Helsinki,German,2
Helsinki,German,1
Helsinki,Greek,1
Helsinki,Grill,1
Helsinki,Hawaiian,2
Helsinki,Healthy,3
Helsinki,Indian,12
Helsinki,Indian,2
Helsinki,International,8
Helsinki,International,7
Helsinki,Italian,62
Helsinki,Italian,8
Helsinki,Japanese,48
Helsinki,Japanese,2
Helsinki,Korean,1
Helsinki,Latin,1
Helsinki,Lebanese,5
Helsinki,Mediterranean,20
Helsinki,Mediterranean,3
Helsinki,Mexican,16
Helsinki,Middle Eastern,4
Helsinki,Middle Eastern,3
Helsinki,Moroccan,2
Helsinki,Nepali,14
Helsinki,Peruvian,1
Helsinki,Pizza,30
Helsinki,Pizza,14
Helsinki,Pub,4
Helsinki,Pub,15
Helsinki,Russian,4
Helsinki,Scandinavian,28
Helsinki,Seafood,6
