City,Cuisine Style,count
Rome,Japanese,9
Rome,Latin,1
Rome,Latin,1
Rome,Lebanese,6
Rome,Mediterranean,68
Rome,Mediterranean,15
Rome,Mexican,23
Rome,Mexican,2
Rome,Middle Eastern,7
Rome,Middle Eastern,4
Rome,Moroccan,2
Rome,Peruvian,9
Rome,Peruvian,1
Rome,Pizza,127
Rome,Pizza,205
Rome,Polish,1
Rome,Pub,31
Rome,Pub,27
Rome,Russian,1
Rome,Seafood,76
Rome,Seafood,37
Rome,Soups,2
Rome,South American,1
Rome,Southwestern,1
Rome,Spanish,1
Rome,Steakhouse,25
Rome,Street Food,10
Rome,Street Food,2
Rome,Sushi,5
Rome,Thai,1
Rome,Turkish,1
Rome,Turkish,1
Rome,Ukrainian,1
Rome,Vegan Options,3
Rome,Vegetarian Friendly,36
