City,Cuisine Style,count
Budapest,American,16
Budapest,Asian,37
Budapest,Asian,4
Budapest,Austrian,2
Budapest,Bar,142
Budapest,Bar,4
Budapest,Barbecue,8
Budapest,Barbecue,1
Budapest,Belgian,4
Budapest,Brew Pub,5
Budapest,British,1
Budapest,Cafe,77
Budapest,Cafe,22
Budapest,Caribbean,2
Budapest,Central European,16
Budapest,Chinese,23
Budapest,Chinese,11
Budapest,Contemporary,1
Budapest,Delicatessen,1
Budapest,Diner,2
Budapest,Diner,1
Budapest,Eastern European,16
Budapest,Eastern European,6
Budapest,European,552
Budapest,European,14
Budapest,Fast Food,65
Budapest,Fast Food,21
Budapest,French,21
Budapest,French,6
Budapest,Fusion,1
Budapest,Fusion,1
Budapest,Gastropub,1
Budapest,Gastropub,3
Budapest,German,2
Budapest,German,2
