City,Cuisine Style,count
Milan,Italian,32
Milan,Japanese,119
Milan,Japanese,30
Milan,Korean,11
Milan,Korean,5
Milan,Kosher,4
Milan,Latin,21
Milan,Latin,2
Milan,Lebanese,2
Milan,Malaysian,1
Milan,Mediterranean,1031
Milan,Mediterranean,262
Milan,Mexican,5
Milan,Mexican,1
Milan,Middle Eastern,21
Milan,Middle Eastern,7
Milan,Minority Chinese,1
Milan,Minority Chinese,4
Milan,Mongolian,2
Milan,Moroccan,2
Milan,Nepali,10
Milan,Norwegian,1
Milan,Pakistani,2
Milan,Pakistani,2
Milan,Persian,2
Milan,Peruvian,4
Milan,Pizza,494
Milan,Pizza,173
Milan,Pub,100
Milan,Pub,128
Milan,Russian,1
Milan,Scandinavian,2
Milan,Scottish,1
Milan,Seafood,679
Milan,Seafood,66
