City,Cuisine Style,count
Copenhagen,British,1
Copenhagen,Cafe,82
Copenhagen,Cafe,23
Copenhagen,Caribbean,1
Copenhagen,Caucasian,1
Copenhagen,Chinese,37
Copenhagen,Chinese,7
Copenhagen,Contemporary,2
Copenhagen,Contemporary,2
Copenhagen,Danish,20
Copenhagen,Danish,7
Copenhagen,Delicatessen,1
Copenhagen,Delicatessen,3
Copenhagen,Diner,1
Copenhagen,European,285
Copenhagen,European,17
Copenhagen,Fast Food,33
Copenhagen,Fast Food,8
Copenhagen,French,53
Copenhagen,French,14
Copenhagen,Fusion,1
Copenhagen,Gastropub,1
Copenhagen,German,1
Copenhagen,German,1
Copenhagen,Greek,1
Copenhagen,Grill,3
Copenhagen,Grill,2
Copenhagen,Healthy,5
Copenhagen,Healthy,2
Copenhagen,Indian,29
Copenhagen,Indian,7
Copenhagen,International,14
Copenhagen,International,8
Copenhagen,Irish,5
Copenhagen,Italian,165
